kepid;koi_disposition;koi_pdisposition;koi_score;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_sma;koi_teq;koi_model_snr
11290515;CANDIDATE;CANDIDATE;;12.267083060;;2.70000;;;;;
4919550;FALSE POSITIVE;FALSE POSITIVE;;2.452618410;0.3595;1.90000;8.5500e+01;0.69;0.0324;1108.0;8.80
8216763;CANDIDATE;CANDIDATE;0.8040;6.333423090;1.1010;3.46000;1.2330e+02;7.62;0.0578;625.0;7.50
6767227;CANDIDATE;CANDIDATE;;5.522479000;0.6606;2.66600;3.3100e+01;0.76;0.0624;1288.0;8.60
8094120;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.706423768;0.7100;1.05970;4.6100e+01;1.16;0.0162;2845.0;15.90
3854496;CANDIDATE;CANDIDATE;1.0000;9.458805400;0.3650;3.66000;2.7000e+02;1.78;0.0910;943.0;8.60
3858757;FALSE POSITIVE;FALSE POSITIVE;;25.953449400;0.6188;6.00100;5.2890e+02;2.06;0.1703;554.0;10.50
3858767;FALSE POSITIVE;FALSE POSITIVE;;3.495503350;0.0843;3.79900;6.0900e+01;0.66;0.0441;1081.0;9.60
3858884;FALSE POSITIVE;FALSE POSITIVE;0.0000;25.951937210;0.5100;15.98970;3.9917e+05;123.34;0.1778;904.0;915.30
3936061;CANDIDATE;CANDIDATE;;71.008017000;0.1788;5.39500;1.7020e+02;1.11;0.3221;419.0;6.60
3938073;FALSE POSITIVE;FALSE POSITIVE;0.0000;31.024310431;1.0090;7.63621;9.6480e+04;93.29;0.1996;783.0;4403.80
3972391;FALSE POSITIVE;FALSE POSITIVE;;0.634131057;0.0891;2.85100;2.7100e+01;0.58;0.0144;2488.0;11.70
3972432;CANDIDATE;CANDIDATE;0.9990;2.908051470;0.7710;2.81200;1.0310e+02;0.97;0.0394;1220.0;8.30
3973002;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.992098705;1.0690;4.03833;6.9414e+04;45.85;0.0308;1435.0;1186.00
5025217;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.787529210;0.0640;5.31500;6.2900e+01;5.86;0.0377;3868.0;16.00
5025234;FALSE POSITIVE;FALSE POSITIVE;;1.775553330;0.9299;14.41000;8.3500e+01;1.26;0.0302;1786.0;14.10
